Banknamn Datum Ränta
Riksbanken 20200108 0.00
Riksbanken 20200219 0.00
Riksbanken 20200318 0.00
Riksbanken 20200429 0.00
Riksbanken 20200708 0.00
Riksbanken 20200923 0.00
Riksbanken 20201202 0.00
Riksbanken 20210217 0.00
Riksbanken 20210428 0.00
Riksbanken 20210707 0.00
Riksbanken 20210922 0.00
Riksbanken 20211201 0.00
Riksbanken 20220216 0.00
Riksbanken 20220504 0.25
Riksbanken 20220706 0.75
Riksbanken 20220921 1.75
Riksbanken 20221130 2.50
Riksbanken 20230215 3.00
Riksbanken 20230503 3.50
Riksbanken 20230705 3.75
Riksbanken 20230927 4.00
Riksbanken 20231129 4.00
Riksbanken 20240207 4.00
Riksbanken 20240403 4.00
Riksbanken 20240515 3.75
Riksbanken 20240703 3.75
Riksbanken 20240821 3.50
Riksbanken 20241002 3.25
Riksbanken 20241113 2.75
Riksbanken 20241219 2.50
SBAB 20200204 1.74
SBAB 20200914 1.74
SBAB 20201022 1.69
SBAB 20210107 1.69
SBAB 20210219 1.69
SBAB 20210304 1.69
SBAB 20210316 1.69
SBAB 20210615 1.69
SBAB 20210806 1.64
SBAB 20211006 1.64
SBAB 20211102 1.64
SBAB 20211217 1.64
SBAB 20220203 1.67
SBAB 20220216 1.67
SBAB 20220321 1.76
SBAB 20220405 1.76
SBAB 20220422 1.82
SBAB 20220504 2.07
SBAB 20220523 2.17
SBAB 20220620 2.32
SBAB 20220707 2.52
SBAB 20220725 2.97
SBAB 20220822 2.87
SBAB 20220922 3.17
SBAB 20221004 3.37
SBAB 20221205 3.77
SBAB 20230109 3.97
SBAB 20230302 4.17
SBAB 20230508 4.67
SBAB 20230705 4.92
SBAB 20230815 5.02
SBAB 20231005 5.22
SBAB 20231109 5.22
SBAB 20231201 5.12
SBAB 20231218 5.12
SBAB 20240122 5.07
SBAB 20240319 5.02
SBAB 20240424 4.92
SBAB 20240515 4.77
SBAB 20240704 4.77
SBAB 20240723 4.62
SBAB 20240821 4.52
SBAB 20240917 4.52
SBAB 20240924 4.32
SBAB 20241029 4.22
SBAB 20241111 3.82
SBAB 20241129 3.82
SBAB 20241216 3.62
SHB 20241213 4.54
SHB 20241108 4.79
SHB 20241007 5.29
SHB 20240920 5.29
SHB 20240822 5.49
SHB 20240809 5.59
SHB 20240710 5.69
SHB 20240510 5.69
SHB 20240103 5.94
SHB 20231215 5.94
SHB 20231010 5.94
SHB 20231002 5.94
SHB 20230710 5.69
SHB 20230510 5.44
SHB 20230404 5.14
SHB 20230216 4.94
SHB 20230117 4.59
SHB 20221214 4.29
SHB 20221125 4.29
SHB 20220926 4.29
SHB 20220914 3.79
SHB 20220901 3.49
SHB 20220823 3.49
SHB 20220728 3.49
SHB 20220712 3.19
SHB 20220630 3.19
SHB 20220620 2.69
SHB 20220511 2.69
SHB 20220503 2.64
SHB 20220404 2.39
SHB 20220215 2.39
SHB 20220214 2.39
SHB 20220124 2.39
SHB 20211110 2.34
SHB 20201015 2.34
SHB 20200902 2.39
SHB 20200710 2.43
SHB 20200114 2.50
SEB 20241201 4.75
SEB 20241001 5.12
SEB 20240901 5.21
SEB 20240801 5.39
SEB 20240701 5.58
SEB 20240601 5.59
SEB 20240501 5.64
SEB 20240401 5.84
SEB 20240301 5.88
SEB 20240201 5.89
SEB 20240101 5.93
SEB 20231201 5.94
Swedbank 20241108 4.74
Swedbank 20241101 4.99
Swedbank 20240927 5.24
Swedbank 20240926 5.24
Swedbank 20240822 5.49
Swedbank 20240814 5.59
Swedbank 20240807 5.69
Swedbank 20240709 5.69
Swedbank 20240510 5.69
Swedbank 20231221 5.94
Swedbank 20231213 5.94
Swedbank 20231114 5.94
Swedbank 20230922 5.94
Swedbank 20230712 5.69
Swedbank 20230627 5.69
Swedbank 20230512 5.44
Swedbank 20230220 5.14
Swedbank 20221118 4.64
Swedbank 20220923 4.34
Swedbank 20220907 3.59
Swedbank 20220727 3.59
Swedbank 20220715 3.24
Swedbank 20220701 3.24
Swedbank 20220620 2.99
Swedbank 20220510 2.74
Swedbank 20220429 2.74
Swedbank 20220324 2.49
Swedbank 20220211 2.44
Swedbank 20220113 2.44
Swedbank 20211104 2.39
Swedbank 20201020 2.39
Swedbank 20200605 2.39
Swedbank 20200103 2.29
Riksbanken 20250129 2.25
SEB 20250130 4.24
Swedbank 20241220 4.49
Swedbank 20250130 4.24
SHB 20250113 4.29
SBAB 20250131 3.42
